,Title,Release_Year,Duration,Synopsis,Genre,Watch_Date,Rate,Imbb_Rate,image_id
0,Recep Ivedik 7,(2022),2 hr 13 min,"
When Recep Ivedik and his best friend Nurullah decide to visit the country house that was passed to Recep from his grandmother, they find themselves in a struggle to save the village and the surrounding forest.    ","
Comedy            ",11 Dec 2022,7,5.3,"https://m.media-amazon.com/images/M/MV5BYjY5NGI0NzQtZTEyZC00MTkxLTk1NjktMDEyYjY1YTA0OGE1XkEyXkFqcGdeQXVyMTA5OTAyNzM2._V1_UY209_CR0,0,140,209_AL_.jpg"
1,1899,(2022– ),1 hr,"
Multinational immigrants traveling from the old continent to the new encounter a nightmarish riddle aboard a second ship adrift on the open sea.    ","
Drama, Mystery            ",20 Nov 2022,7,7.6,"https://m.media-amazon.com/images/M/MV5BMTU1N2I5OTgtNDE2MS00ZTdmLWJlODktNDMwMGVmNzY5NmUxXkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_UY209_CR13,0,140,209_AL_.jpg"
2,Black Panther: Wakanda Forever,(2022),2 hr 41 min,"
The people of Wakanda fight to protect their home from intervening world powers as they mourn the death of King T'Challa.    ","
Action, Adventure, Drama            ",13 Nov 2022,8,7.2,"https://m.media-amazon.com/images/M/MV5BNTM4NjIxNmEtYWE5NS00NDczLTkyNWQtYThhNmQyZGQzMjM0XkEyXkFqcGdeQXVyODk4OTc3MTY@._V1_UY209_CR0,0,140,209_AL_.jpg"
3,Los cronocrímenes,(2007),1 hr 32 min,"
A man accidentally gets into a time machine and travels back in time nearly an hour. Finding himself will be the first of a series of disasters of unforeseeable consequences.    ","
Horror, Mystery, Sci-Fi            ",07 Nov 2022,7,7.1,"https://m.media-amazon.com/images/M/MV5BMmZjYTYwNzYtNTdhYi00MDQzLTk1NTYtNDlhYzQwYWEzMjk2XkEyXkFqcGdeQXVyNzUzMDExNTI@._V1_UY209_CR2,0,140,209_AL_.jpg"
4,Bodies Bodies Bodies,(2022),1 hr 34 min,"
When a group of rich 20-somethings plan a hurricane party at a remote family mansion, a party game turns deadly in this fresh and funny look at backstabbing, fake friends, and one party gone very, very wrong.    ","
Comedy, Horror, Thriller            ",05 Nov 2022,6,6.3,"https://m.media-amazon.com/images/M/MV5BYTA2ODg5ZjgtOTU2My00MzFkLWI0NzMtZmQ5MmRhMWU1NzhlXkEyXkFqcGdeQXVyMTM1MTE1NDMx._V1_UY209_CR0,0,140,209_AL_.jpg"
5,Barbarian,(2022),1 hr 42 min,"
A woman staying at an Airbnb discovers that the house she has rented is not what it seems.    ","
Horror, Mystery, Thriller            ",05 Nov 2022,5,7.1,"https://m.media-amazon.com/images/M/MV5BN2M3Y2NhMGYtYjUxOS00M2UwLTlmMGUtYzY4MzFlNjZkYzY2XkEyXkFqcGdeQXVyODc0OTEyNDU@._V1_UY209_CR0,0,140,209_AL_.jpg"
6,Severance,(2022– ),55 min,"
Mark leads a team of office workers whose memories have been surgically divided between their work and personal lives. When a mysterious colleague appears outside of work, it begins a journey to discover the truth about their jobs.    ","
Drama, Mystery, Sci-Fi            ",03 Nov 2022,10,8.7,"https://m.media-amazon.com/images/M/MV5BMjkwZjcwMGQtNDAzOC00YjJiLThiYTgtNWU3ZjRiZmY2YzEzXkEyXkFqcGdeQXVyMTMzNDExODE5._V1_UX140_CR0,0,140,209_AL_.jpg"
7,Fall,(I) (2022),1 hr 47 min,"
Best friends Becky and Hunter find themselves at the top of a 2,000-foot radio tower.    ","
Thriller            ",24 Oct 2022,7,6.4,"https://m.media-amazon.com/images/M/MV5BNGI3MWYwYjItNzZhYi00ZWIzLTkyMzYtN2JmNjg3ODg1NTg4XkEyXkFqcGdeQXVyMTMwMDA5ODU3._V1_UX140_CR0,0,140,209_AL_.jpg"
8,Jexi,(2019),1 hr 24 min,"
Phil makes top 10 pop lists at work. His only ""friend"" is cellphone Siri. His new phone includes AI helper Jexi, who improves/controls his social life.    ","
Comedy, Romance, Sci-Fi            ",24 Oct 2022,8,6,"https://m.media-amazon.com/images/M/MV5BYWM3OTk0NTItZjBlNi00NGE3LTk4MGQtODdlMWM2OWI5MWE3XkEyXkFqcGdeQXVyMTA2MDQ3MTQ3._V1_UY209_CR0,0,140,209_AL_.jpg"
9,Constantine,(2005),2 hr 1 min,"
Supernatural exorcist and demonologist John Constantine helps a policewoman prove her sister's death was not a suicide, but something more.    ","
Action, Fantasy, Horror            ",17 Sep 2022,4,7,"https://m.media-amazon.com/images/M/MV5BODZiMzAxNTctZjdiZC00OGY5LTg2NDAtNWJhNmQwZTcyMWQ2XkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_UY209_CR0,0,140,209_AL_.jpg"
